metros_plaza,metros_parque,personas,tiene arboles
58460,94824,271,Sí
130316,0,55,Sí
,,,Sí
4050,0,8,Sí
2532,,,Sí
2300,0,17,Sí
12925,20749,18,Sí
409807,269533,383,Sí
11263,,28,Sí
8287,35608,24,Sí
,,,Sí
283236,180901,159,Sí
2500,0,11,Sí
30328,,,Sí
20428,,51,Sí
6410,0,23,Sí
,,184,Sí
170367,22206,87,Sí
5000,16000,44,Sí
13878,569,78,Sí
28600,57000,58,Sí
102233,58013,114,Sí
25215,0,36,Sí
40078,0,20,Sí
15511,58584,35,Sí
941514,1196588,230,Sí
1499157,91306,289,Sí
76,52,35,Sí
25593,23600,11,Sí
9445,0,19,Sí
96690,190000,57,Sí
46244,11500,47,Sí
22805,0,24,Sí
45772,44897,44,Sí
24543,33253,44,Sí
424,318,,Sí
450,0,32,Sí
16411,50406,71,Sí
8094,0,20,Sí
6819,,29,Sí
464470,0,649,Sí
32389,0,14,Sí
61528,45387,42,Sí
9500,4082,13,Sí
10800,0,44,Sí
114852,2384614702,82,Sí
809912,566972,718,Sí
9811,0,28,Sí
282110,60000,92,Sí
24383,0,21,Sí
37997333,0,23,Sí
20400,0,35,Sí
,,37,Sí
14878,9800,54,Sí
20000,11000,36,Sí
13993,0,36,Sí
41166,26300,66,Sí
226379,197748,136,Sí
138742,66,,Sí
26500,40500,40,Sí
50727,0,19,Sí
123,0,43,Sí
372936,26443,161,Sí
137009,56063,49,Sí
45000,68500,88,Sí
97868,0,90,Sí
60375,0,50,Sí
197616,177150,94,Sí
431219,110897,120,Sí
7063,0,46,Sí
4885,59207,58,Sí
71335,0,26,Sí
3014,45937,51,Sí
10000,0,30,Sí
427656,0,240,Sí
261000,19552,57,Sí
18182,0,43,Sí
,,,Sí
1628888,298922,275,Sí
61072,0,,Sí
21812,0,25,Sí
68919,5000,44,Sí
45950,0,32,Sí
199788,21351,35,Sí
43622,,66,Sí
385998,70000,74,Sí
40402,0,0,Sí
39861,0,48,Sí
31974,0,33,Sí
45761,6000,30,Sí
36280,0,33,Sí
23368,2329,32,Sí
366952,56000,109,Sí
7093,0,57,Sí
168198,0,84,Sí
117519,18485,66,Sí
11000,0,22,Sí
12380,0,28,Sí
31372,14557,32,Sí
13000,37900,9,Sí
29300,20000,25,Sí
231241,97286,63,Sí
40788,0,40,Sí
94330,7800,49,Sí
20880,40912,23,Sí
62855,40000,32,Sí
39252,20600,31,Sí
29800,49000,38,Sí
24000,,23,Sí
7325,0,16,Sí
162000,240000,57,Sí
1329575,462725,221,Sí
19850,50000,86,Sí
7800,9400,45,Sí
15523,140000,18,Sí
2299,103771,26,Sí
17140,0,25,Sí
24800,0,34,Sí
33325,23069,37,Sí
,,,Sí
7192,0,20,Sí
128488,25000,72,Sí
17601,1900000,36,Sí
20377,27000,32,Sí
711759,92095,263,Sí
7939,0,31,Sí
26207,0,32,Sí
225308,0,78,Sí
57156,0,23,Sí
22839,24000,42,Sí
64058,0,44,Sí
106210,0,44,Sí
8830,4550,29,Sí
32972,38148,109,Sí
15601,0,38,Sí
59800,0,47,Sí
20067,0,80,Sí
32974,21622,42,Sí
153114,11620,85,Sí
3600,11974,40,Sí
18200,0,42,Sí
99436,307408,434,Sí
,,161,Sí
421595,44061,71,Sí
14720,0,33,Sí
2,0,,Sí
,,106,Sí
17300,17600,90,Sí
1265443,221518,171,Sí
30000,93000,45,Sí
786545,380707,318,Sí
112173,77995,114,Sí
377259,43736,103,Sí
53000,39075,39,Sí
23662,19400,91,Sí
13151,138000,47,Sí
10000,40000,34,Sí
29388,0,53,Sí
4540,0,28,Sí
7043,92957,26,Sí
977593,327762,327,Sí
20277,0,20,Sí
76608,0,49,Sí
33629,0,45,Sí
11020,4417,60,Sí
70681,37498,68,Sí
65500,9000,26,Sí
27515,0,21,Sí
15263,6470,28,Sí
8000,12000,21,Sí
24525,14481,37,Sí
40000,0,27,Sí
