CODIGO;MUNICIPIO;MUNICIPALES_PRIMERA;PARTICULARES_PRIMERA;SUBVENCIONADOS_PRIMERA;450_MUNICIPALES;450_PARTICULARES;450_SUBVENCIONADOS
1101;IQUIQUE;482;149;1177;153;142;843
1107;ALTO HOSPICIO;79;0;1012;48;0;483
1401;POZO ALMONTE;159;0;0;43;0;0
1402;CAMIÑA;8;0;0;1;0;0
1403;COLCHANE;5;0;0;1;0;0
1404;HUARA;16;0;0;10;0;0
1405;PICA;41;0;0;14;0;0
2101;ANTOFAGASTA;1409;502;1532;588;443;1167
2102;MEJILLONES;79;0;0;30;0;0
2103;SIERRA GORDA;8;0;0;4;0;0
2104;TALTAL;122;0;0;57;0;0
2201;CALAMA;734;186;547;435;151;383
2202;OLLAGÜE;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado
2203;SAN PEDRO DE ATACAMA;37;0;0;23;0;0
2301;TOCOPILLA;157;0;91;34;0;68
2302;MARÍA ELENA;59;0;0;23;0;0
3101;COPIAPÓ;658;114;816;271;111;569
3102;CALDERA;58;0;106;19;0;67
3103;TIERRA AMARILLA;84;0;0;13;0;0
3201;CHAÑARAL;97;0;11;47;0;4
3202;DIEGO DE ALMAGRO;90;0;76;47;0;48
3301;VALLENAR;350;13;194;154;12;155
3302;ALTO DEL CARMEN;24;0;0;5;0;0
3303;FREIRINA;34;0;0;16;0;0
3304;HUASCO;41;0;0;12;0;0
4101;LA SERENA;556;596;1939;280;577;1244
4102;COQUIMBO;604;136;1303;310;118;802
4103;ANDACOLLO;49;0;37;18;0;24
4104;LA HIGUERA;12;0;0;4;0;0
4105;PAIGUANO;17;0;3;3;0;2
4106;VICUÑA;64;0;172;17;0;98
4201;ILLAPEL;233;0;142;90;0;88
4202;CANELA;71;0;0;39;0;0
4203;LOS VILOS;90;0;97;32;0;75
4204;SALAMANCA;44;0;232;12;0;127
4301;OVALLE;615;50;752;271;46;480
4302;COMBARBALÁ;95;0;15;48;0;4
4303;MONTE PATRIA;121;0;57;40;0;27
4304;PUNITAQUI;38;0;33;8;0;28
4305;RÍO HURTADO;26;0;0;11;0;0
5101;VALPARAÍSO;996;256;1532;427;246;930
5102;CASABLANCA;141;2;164;56;2;114
5103;CONCÓN;56;144;238;16;141;190
5104;JUAN FERNÁNDEZ;10;0;0;9;0;0
5105;PUCHUNCAVÍ;120;0;0;32;0;0
5107;QUINTERO;61;0;242;12;0;165
5109;VIÑA DEL MAR;519;915;1817;208;818;1261
5201;ISLA DE PASCUA;49;0;19;24;0;12
5301;LOS ANDES;554;102;324;251;98;207
5302;CALLE LARGA;33;18;34;11;16;10
5303;RINCONADA;7;0;23;1;0;17
5304;SAN ESTEBAN;43;0;0;14;0;0
5401;LA LIGUA;184;0;208;65;0;154
5402;CABILDO;182;0;91;57;0;73
5403;PAPUDO;34;0;13;9;0;9
